slug,name,address,postalCode,city,lat,lng,courtsCount,provider,externalId,bookingBaseUrl,notes
padelshot-la-ville-aux-dames,PadelShot Tours - La Ville-Aux-Dames,5 rue du Champmeslé,37700,La Ville-aux-Dames,47.39028,0.76409,11,playtomic,a4cf6168-d24f-4ac9-991b-2775ce2503d1,https://playtomic.com/clubs/padelshot-tours-la-villes-aux-dames,10 terrains nommés + 1 single — tenant_id vérifié via API Playtomic
padelshot-st-pierre-des-corps,PadelShot Tours - St Pierre des Corps,10 rue de la Brétèche,37700,Saint-Pierre-des-Corps,47.38082,0.72747,4,playtomic,f9a2e26c-3eed-4692-9137-d1f38d31050e,https://playtomic.com/clubs/padelshot-st-pierre-des-corps,4 terrains indoor — tenant_id vérifié via API Playtomic
la-bulle-padel,La Bulle Padel Club,Allée de la Touche,37390,Charentilly,47.46574,0.62334,3,doinsport,502bef2a-4862-4f00-9caf-15dd917df633,https://labullepadelclub.doinsport.club,3 terrains indoor panoramiques FFT — guid vérifié via URL Doinsport — activityId padel: ce8c306e-224a-4f24-aa9d-6500580924dc
at-grand-tours,Association Tennis Grand Tours,rue Suzanne Lenglen,37000,Tours,47.37844,0.72806,3,anybuddy,at-grand-tours,https://www.anybuddyapp.com/club-at-grand-tours/reservation,3 terrains extérieurs gazon artificiel — centerId vérifié via API Anybuddy v1
skinup-academy,Skinup Academy,19 rue Gustave Eiffel,37190,Azay-le-Rideau,47.27174,0.47510,4,doinsport,9f7de511-5acf-4f2a-8f36-2e2dd0a0790f,https://skinupacademy.doinsport.club,4 terrains (2 couverts / 2 ext.) — complexe tennis+pickleball — ~25 km — guid vérifié via URL Doinsport — activityId padel: ce8c306e-224a-4f24-aa9d-6500580924dc
racket-park-charge,Racket Park,10 rue de la Musse,37530,Chargé,47.41788,1.02817,3,custom,racketpark,https://racketpark.matchpoint.com.es/Booking/Grid.aspx,3 terrains indoor — plateforme Matchpoint (custom) — ~30 km d'Amboise — scraping nécessaire
touraine-padel-notre-dame-doe,Association Touraine Padel,9 rue René Cassin,37390,Notre-Dame-d'Oé,47.43763,0.69475,6,custom,touraine-padel,https://padeligo.com/fr/clubs/france/notre-dame-d-oe/association-touraine-padel-hwyly8z4rp/,3 terrains couverts + 3 ext. — Central Club — utilise Padeligo (non supporté) — scraping nécessaire
